base__hugo	base__num_variants	base__so	base__all_so	base__note	pubmed__n	pubmed__term	uniprot__acc
PAX1	6	FSD	FSD(1),INT(1),UT3(3),2KD(1)		12	http://www.ncbi.nlm.nih.gov/pubmed?term=PAX1[TIAB] AND cancer[MH]	P15863[WEB:]https://www.uniprot.org/uniprot/P15863
PCED1A	37	FSD	FSD(1),IND(1),MIS(3),INT(14),UT3(1),2KU(3),2KD(14)				Q9H1Q7[WEB:]https://www.uniprot.org/uniprot/Q9H1Q7
PCIF1	21	MIS	MIS(2),INT(12),UT5(1),2KU(3),2KD(3)				Q9H4Z3[WEB:]https://www.uniprot.org/uniprot/Q9H4Z3
PCK1	26	MIS	MIS(2),SYN(1),INT(4),UT3(9),2KU(5),2KD(5)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=PCK1[TIAB] AND cancer[MH]	P35558[WEB:]https://www.uniprot.org/uniprot/P35558
PCNA	33	SYN	SYN(1),INT(28),UT5(1),2KU(1),2KD(2)		4282	http://www.ncbi.nlm.nih.gov/pubmed?term=PCNA[MH] AND cancer[MH]	P12004[WEB:]https://www.uniprot.org/uniprot/P12004
PCSK2	583	FSI	FSI(1),MIS(2),INT(560),UT5(2),UT3(5),2KU(5),2KD(8)		6	http://www.ncbi.nlm.nih.gov/pubmed?term=PCSK2[TIAB] AND cancer[MH]	P16519[WEB:]https://www.uniprot.org/uniprot/P16519
PDRG1	16	MIS	MIS(1),INT(4),UT5(2),UT3(7),2KU(2)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=PDRG1[TIAB] AND cancer[MH]	Q9NUG6[WEB:]https://www.uniprot.org/uniprot/Q9NUG6
PDYN	45	MIS	MIS(1),INT(23),UT5(1),UT3(3),2KU(11),2KD(6)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=PDYN[TIAB] AND cancer[MH]	P01213[WEB:]https://www.uniprot.org/uniprot/P01213
PET117	9	INT	INT(4),UT3(1),2KU(1),2KD(3)				Q6UWS5[WEB:]https://www.uniprot.org/uniprot/Q6UWS5
PFDN4	59	FSD	FSD(1),INT(46),UT3(4),2KU(5),2KD(3)		6	http://www.ncbi.nlm.nih.gov/pubmed?term=PFDN4[TIAB] AND cancer[MH]	Q9NQP4[WEB:]https://www.uniprot.org/uniprot/Q9NQP4
PHACTR3	544	MIS	MIS(3),SYN(1),INT(533),2KU(2),2KD(5)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=PHACTR3[TIAB] AND cancer[MH]	Q96KR7[WEB:]https://www.uniprot.org/uniprot/Q96KR7
PHF20	377	FSI	FSI(1),STG(1),MIS(3),INT(363),UT3(3),2KU(2),2KD(4)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=PHF20[TIAB] AND cancer[MH]	Q9BVI0[WEB:]https://www.uniprot.org/uniprot/Q9BVI0
PI3	10	MIS	MIS(1),SYN(1),INT(1),2KU(1),2KD(6)		1171	http://www.ncbi.nlm.nih.gov/pubmed?term=PI3[TIAB] AND cancer[MH]	P19957[WEB:]https://www.uniprot.org/uniprot/P19957
PIGT	26	MIS	MIS(3),SYN(3),INT(11),UT3(2),2KU(4),2KD(3)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=PIGT[TIAB] AND cancer[MH]	Q969N2[WEB:]https://www.uniprot.org/uniprot/Q969N2
PIGU	164	INT	INT(158),2KU(4),2KD(2)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=PIGU[TIAB] AND cancer[MH]	Q9H490[WEB:]https://www.uniprot.org/uniprot/Q9H490
PKIG	95	INT	INT(84),UT5(1),UT3(1),2KU(2),2KD(7)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=PKIG[TIAB] AND cancer[MH]	Q9Y2B9[WEB:]https://www.uniprot.org/uniprot/Q9Y2B9
PLAGL2	10	INT	INT(6),UT3(3),2KU(1)		11	http://www.ncbi.nlm.nih.gov/pubmed?term=PLAGL2[TIAB] AND cancer[MH]	Q9UPG8[WEB:]https://www.uniprot.org/uniprot/Q9UPG8
PLCB1	1437	STG	STG(1),MIS(3),SYN(2),INT(1420),UT3(1),2KU(3),2KD(7)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=PLCB1[TIAB] AND cancer[MH]	Q9NQ66[WEB:]https://www.uniprot.org/uniprot/Q9NQ66
PLCB4	431	MIS	MIS(1),INT(416),UT5(2),2KU(12)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=PLCB4[TIAB] AND cancer[MH]	Q15147[WEB:]https://www.uniprot.org/uniprot/Q15147
PLCG1	68	MIS	MIS(5),SYN(3),INT(43),UT5(1),UT3(9),2KU(4),2KD(3)		6	http://www.ncbi.nlm.nih.gov/pubmed?term=PLCG1[TIAB] AND cancer[MH]	P19174[WEB:]https://www.uniprot.org/uniprot/P19174
PLTP	13	INT	INT(9),UT3(1),2KD(3)		9	http://www.ncbi.nlm.nih.gov/pubmed?term=PLTP[TIAB] AND cancer[MH]	P55058[WEB:]https://www.uniprot.org/uniprot/P55058
PMEPA1	153	FSD	FSD(1),MIS(2),INT(130),UT3(10),2KU(5),2KD(5)		21	http://www.ncbi.nlm.nih.gov/pubmed?term=PMEPA1[TIAB] AND cancer[MH]	Q969W9[WEB:]https://www.uniprot.org/uniprot/Q969W9
POFUT1	36	INT	INT(32),UT3(2),2KU(1),2KD(1)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=POFUT1[TIAB] AND cancer[MH]	Q9H488[WEB:]https://www.uniprot.org/uniprot/Q9H488
POLR3F	41	FSI	FSI(1),MIS(1),SYN(2),INT(25),UT3(4),2KU(4),2KD(4)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=POLR3F[TIAB] AND cancer[MH]	Q9H1D9[WEB:]https://www.uniprot.org/uniprot/Q9H1D9
PPP1R16B	166	MIS	MIS(1),INT(156),UT5(1),UT3(2),2KU(5),2KD(1)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=PPP1R16B[TIAB] AND cancer[TIAB]	Q96T49[WEB:]https://www.uniprot.org/uniprot/Q96T49
PPP1R3D	18	MIS	MIS(1),SYN(1),UT5(1),UT3(4),2KU(5),2KD(6)				O95685[WEB:]https://www.uniprot.org/uniprot/O95685
PRELID3B	30	INT	INT(11),UT3(5),2KU(3),2KD(11)				Q9Y3B1[WEB:]https://www.uniprot.org/uniprot/Q9Y3B1
PREX1	300	IND	IND(1),INT(298),UT3(1)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=PREX1[TIAB] AND cancer[MH]	Q8TCU6[WEB:]https://www.uniprot.org/uniprot/Q8TCU6
PRND	31	INT	INT(6),UT5(1),UT3(14),2KU(9),2KD(1)		8	http://www.ncbi.nlm.nih.gov/pubmed?term=PRND[TIAB] AND cancer[MH]	Q9UKY0[WEB:]https://www.uniprot.org/uniprot/Q9UKY0
PRNP	28	SYN	SYN(1),INT(12),UT5(1),UT3(1),2KU(3),2KD(10)		23	http://www.ncbi.nlm.nih.gov/pubmed?term=PRNP[TIAB] AND cancer[MH]	F7VJQ1;P04156[WEB:]https://www.uniprot.org/uniprot/F7VJQ1;P04156
PRNT	66	INT	INT(44),UT5(1),UT3(4),2KU(13),2KD(4)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=PRNT[TIAB] AND cancer[MH]	Q86SH4[WEB:]https://www.uniprot.org/uniprot/Q86SH4
PROCR	3	INT	INT(2),UT3(1)		7	http://www.ncbi.nlm.nih.gov/pubmed?term=PROCR[TIAB] AND cancer[MH]	Q9UNN8[WEB:]https://www.uniprot.org/uniprot/Q9UNN8
PROKR2	59	FSD	FSD(2),MIS(2),SYN(5),INT(26),2KU(11),2KD(13)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=PROKR2[TIAB] AND cancer[MH]	Q8NFJ6[WEB:]https://www.uniprot.org/uniprot/Q8NFJ6
PSMA7	34	SPL	SPL(1),SYN(1),INT(24),2KU(5),2KD(3)		11	http://www.ncbi.nlm.nih.gov/pubmed?term=PSMA7[TIAB] AND cancer[MH]	O14818[WEB:]https://www.uniprot.org/uniprot/O14818
PSMF1	46	INT	INT(41),2KU(1),2KD(4)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=PSMF1[TIAB] AND cancer[MH]	Q92530[WEB:]https://www.uniprot.org/uniprot/Q92530
PTGIS	94	MIS	MIS(1),INT(79),UT3(9),2KU(2),2KD(3)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=PTGIS[TIAB] AND cancer[MH]	Q16647[WEB:]https://www.uniprot.org/uniprot/Q16647
PTPN1	183	SYN	SYN(2),INT(167),UT5(1),UT3(3),2KU(3),2KD(7)		25	http://www.ncbi.nlm.nih.gov/pubmed?term=PTPN1[TIAB] AND cancer[MH]	P18031[WEB:]https://www.uniprot.org/uniprot/P18031
PTPRA	224	FSD	FSD(1),MIS(1),SYN(3),INT(199),UT3(12),2KU(4),2KD(4)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=PTPRA[TIAB] AND cancer[MH]	P18433[WEB:]https://www.uniprot.org/uniprot/P18433
PTPRT	2079	MIS	MIS(4),SYN(3),INT(2052),UT3(13),2KD(7)		71	http://www.ncbi.nlm.nih.gov/pubmed?term=PTPRT[MH] AND cancer[MH]	O14522[WEB:]https://www.uniprot.org/uniprot/O14522
PXMP4	67	SYN	SYN(1),INT(43),UT5(1),UT3(14),2KU(2),2KD(6)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=PXMP4[TIAB] AND cancer[TIAB]	Q9Y6I8[WEB:]https://www.uniprot.org/uniprot/Q9Y6I8
PYGB	63	MIS	MIS(2),SYN(2),INT(47),UT3(4),2KU(3),2KD(5)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=PYGB[TIAB] AND cancer[MH]	P11216[WEB:]https://www.uniprot.org/uniprot/P11216
R3HDML	33	MIS	MIS(2),SYN(1),INT(21),UT3(1),2KU(5),2KD(3)				Q9H3Y0[WEB:]https://www.uniprot.org/uniprot/Q9H3Y0
RAB22A	175	MIS	MIS(2),SYN(2),INT(128),UT5(1),UT3(34),2KU(6),2KD(2)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=RAB22A[TIAB] AND cancer[MH]	Q9UL26[WEB:]https://www.uniprot.org/uniprot/Q9UL26
RAD21L1	93	MIS	MIS(1),INT(88),2KD(4)				Q9H4I0[WEB:]https://www.uniprot.org/uniprot/Q9H4I0
RAE1	96	MIS	MIS(2),SYN(2),INT(76),UT5(1),UT3(2),2KU(8),2KD(5)		21	http://www.ncbi.nlm.nih.gov/pubmed?term=RAE1[TIAB] AND cancer[MH]	P78406[WEB:]https://www.uniprot.org/uniprot/P78406
RALGAPA2	410	MIS	MIS(4),SYN(4),INT(396),UT3(3),2KU(1),2KD(2)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=RALGAPA2[TIAB] AND cancer[MH]	Q2PPJ7[WEB:]https://www.uniprot.org/uniprot/Q2PPJ7
RALGAPB	107	FSI	FSI(1),FSD(1),MIS(2),SYN(1),INT(98),2KU(3),2KD(1)				Q86X10[WEB:]https://www.uniprot.org/uniprot/Q86X10
RALY	138	MIS	MIS(2),INT(131),UT3(3),2KU(2)		6	http://www.ncbi.nlm.nih.gov/pubmed?term=RALY[TIAB] AND cancer[MH]	Q9UKM9[WEB:]https://www.uniprot.org/uniprot/Q9UKM9
RASSF2	200	SPL	SPL(1),MIS(4),SYN(4),INT(163),UT5(1),UT3(10),2KU(2),2KD(15)		34	http://www.ncbi.nlm.nih.gov/pubmed?term=RASSF2[TIAB] AND cancer[MH]	P50749[WEB:]https://www.uniprot.org/uniprot/P50749
RBBP8NL	59	MIS	MIS(1),SYN(4),INT(32),UT3(7),2KU(1),2KD(14)				Q8NC74[WEB:]https://www.uniprot.org/uniprot/Q8NC74
RBBP9	23	FSD	FSD(1),INT(8),UT5(1),UT3(6),2KU(2),2KD(5)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=RBBP9[TIAB] AND cancer[MH]	O75884[WEB:]https://www.uniprot.org/uniprot/O75884
RBCK1	62	MIS	MIS(1),INT(47),UT5(2),2KU(10),2KD(2)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=RBCK1[TIAB] AND cancer[MH]	Q9BYM8[WEB:]https://www.uniprot.org/uniprot/Q9BYM8
RBL1	162	MIS	MIS(1),INT(140),UT3(7),2KU(3),2KD(11)		15	http://www.ncbi.nlm.nih.gov/pubmed?term=RBL1[TIAB] AND cancer[MH]	P28749[WEB:]https://www.uniprot.org/uniprot/P28749
RBM12	17	SYN	SYN(1),INT(8),UT5(1),UT3(2),2KU(2),2KD(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=RBM12[TIAB] AND cancer[MH]	Q9NTZ6[WEB:]https://www.uniprot.org/uniprot/Q9NTZ6
RBM38	12	INT	INT(10),UT3(1),2KD(1)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=RBM38[TIAB] AND cancer[TIAB]	Q9H0Z9[WEB:]https://www.uniprot.org/uniprot/Q9H0Z9
RBM39	32	SYN	SYN(1),INT(28),UT5(2),2KU(1)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=RBM39[TIAB] AND cancer[MH]	Q14498[WEB:]https://www.uniprot.org/uniprot/Q14498
RBPJL	12	MIS	MIS(2),SYN(1),INT(3),UT3(1),2KU(3),2KD(2)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=RBPJL[TIAB] AND cancer[MH]	Q9UBG7[WEB:]https://www.uniprot.org/uniprot/Q9UBG7
REM1	7	INT	INT(6),2KU(1)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=REM1[TIAB] AND cancer[MH]	O75628[WEB:]https://www.uniprot.org/uniprot/O75628
RIMS4	111	STG	STG(1),SYN(1),INT(105),UT3(3),2KD(1)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=RIMS4[TIAB] AND cancer[MH]	Q9H426[WEB:]https://www.uniprot.org/uniprot/Q9H426
RIN2	278	MIS	MIS(3),SYN(1),INT(263),UT5(1),UT3(4),2KU(4),2KD(2)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=RIN2[TIAB] AND cancer[MH]	Q8WYP3[WEB:]https://www.uniprot.org/uniprot/Q8WYP3
RNF114	43	MIS	MIS(1),INT(30),UT3(3),2KU(5),2KD(4)				Q9Y508[WEB:]https://www.uniprot.org/uniprot/Q9Y508
RNF24	104	FSD	FSD(1),INT(79),UT3(17),2KD(7)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=RNF24[TIAB] AND cancer[MH]	Q9Y225[WEB:]https://www.uniprot.org/uniprot/Q9Y225
ROMO1	5	INT	INT(2),2KU(2),2KD(1)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=ROMO1[TIAB] AND cancer[MH]	P60602[WEB:]https://www.uniprot.org/uniprot/P60602
RP4-576H24.4	62	INT	INT(56),2KU(3),2KD(3)				
RP5-1187M17.10	41	SYN	SYN(4),INT(15),UT5(2),UT3(8),2KU(6),2KD(6)				
RP5-850E9.3	82	INT	INT(65),UT5(1),UT3(9),2KU(3),2KD(4)				
RP5-860F19.8	6	MIS	MIS(1),SYN(1),INT(2),2KD(2)				
RPN2	119	MIS	MIS(2),SYN(1),INT(110),2KU(4),2KD(2)		12	http://www.ncbi.nlm.nih.gov/pubmed?term=RPN2[TIAB] AND cancer[MH]	P04844[WEB:]https://www.uniprot.org/uniprot/P04844
RPRD1B	158	SPL	SPL(1),SYN(1),INT(141),UT5(1),UT3(6),2KU(4),2KD(4)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=RPRD1B[TIAB] AND cancer[TIAB]	Q9NQG5[WEB:]https://www.uniprot.org/uniprot/Q9NQG5
RPS21	19	FSD	FSD(1),INT(3),2KU(4),2KD(11)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=RPS21[TIAB] AND cancer[MH]	P63220[WEB:]https://www.uniprot.org/uniprot/P63220
RRBP1	102	FSD	FSD(1),MIS(3),SYN(2),INT(88),2KU(3),2KD(5)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=RRBP1[TIAB] AND cancer[MH]	Q9P2E9[WEB:]https://www.uniprot.org/uniprot/Q9P2E9
RSPO4	130	SPL	SPL(1),MIS(2),SYN(1),INT(116),UT5(1),UT3(3),2KU(4),2KD(2)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=RSPO4[TIAB] AND cancer[MH]	Q2I0M5[WEB:]https://www.uniprot.org/uniprot/Q2I0M5
RTFDC1	128	SYN	SYN(1),INT(113),UT5(1),UT3(3),2KU(6),2KD(4)				
SALL4	53	MIS	MIS(3),SYN(2),INT(39),UT3(3),2KU(4),2KD(2)		63	http://www.ncbi.nlm.nih.gov/pubmed?term=SALL4[TIAB] AND cancer[MH]	Q9UJQ4[WEB:]https://www.uniprot.org/uniprot/Q9UJQ4
SAMHD1	97	SPL	SPL(1),MIS(2),INT(84),UT3(2),2KU(4),2KD(4)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=SAMHD1[TIAB] AND cancer[MH]	Q9Y3Z3[WEB:]https://www.uniprot.org/uniprot/Q9Y3Z3
SCAND1	19	INT	INT(10),UT5(2),2KU(3),2KD(4)				P57086[WEB:]https://www.uniprot.org/uniprot/P57086
SCRT2	43	MIS	MIS(3),SYN(1),INT(23),UT5(3),UT3(5),2KU(2),2KD(6)				Q9NQ03[WEB:]https://www.uniprot.org/uniprot/Q9NQ03
SDC4	26	INT	INT(18),2KU(8)		13	http://www.ncbi.nlm.nih.gov/pubmed?term=SDC4[TIAB] AND cancer[MH]	P31431[WEB:]https://www.uniprot.org/uniprot/P31431
SDCBP2	48	MIS	MIS(1),INT(44),UT3(1),2KU(1),2KD(1)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=SDCBP2[TIAB] AND cancer[MH]	Q9H190[WEB:]https://www.uniprot.org/uniprot/Q9H190
SEC23B	145	FSD	FSD(1),MIS(2),SYN(2),INT(128),UT5(3),UT3(1),2KU(6),2KD(2)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=SEC23B[TIAB] AND cancer[MH]	Q15437[WEB:]https://www.uniprot.org/uniprot/Q15437
SEL1L2	170	SPL	SPL(1),SYN(1),INT(166),2KU(1),2KD(1)				Q5TEA6[WEB:]https://www.uniprot.org/uniprot/Q5TEA6
SEMG1	24	FSI	FSI(1),MIS(4),SYN(1),INT(2),UT5(1),2KU(10),2KD(5)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=SEMG1[TIAB] AND cancer[MH]	P04279[WEB:]https://www.uniprot.org/uniprot/P04279
SEMG2	15	STG	STG(1),MIS(3),SYN(4),INT(1),2KU(2),2KD(4)				Q02383[WEB:]https://www.uniprot.org/uniprot/Q02383
SERINC3	39	FSD	FSD(1),SPL(1),MIS(1),INT(26),UT5(1),2KU(8),2KD(1)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=SERINC3[TIAB] AND cancer[MH]	Q13530[WEB:]https://www.uniprot.org/uniprot/Q13530
SGK2	47	INT	INT(30),UT5(2),2KU(14),2KD(1)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=SGK2[TIAB] AND cancer[MH]	Q9HBY8[WEB:]https://www.uniprot.org/uniprot/Q9HBY8
SIGLEC1	61	FSI	FSI(1),FSD(3),SPL(1),MIS(3),SYN(3),INT(40),UT3(3),2KU(4),2KD(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=SIGLEC1[TIAB] AND cancer[MH]	Q9BZZ2[WEB:]https://www.uniprot.org/uniprot/Q9BZZ2
SIRPA	135	FSD	FSD(1),MIS(2),SYN(2),INT(112),UT5(1),UT3(3),2KU(7),2KD(7)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=SIRPA[TIAB] AND cancer[MH]	P78324[WEB:]https://www.uniprot.org/uniprot/P78324
SIRPB1	46	SYN	SYN(1),INT(42),2KU(3)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=SIRPB1[TIAB] AND cancer[MH]	O00241;Q5TFQ8[WEB:]https://www.uniprot.org/uniprot/O00241;Q5TFQ8
SIRPB2	43	FSI	FSI(1),INT(27),UT3(5),2KU(5),2KD(5)				Q5JXA9[WEB:]https://www.uniprot.org/uniprot/Q5JXA9
SIRPD	83	INT	INT(73),UT5(2),UT3(1),2KU(3),2KD(4)				Q9H106[WEB:]https://www.uniprot.org/uniprot/Q9H106
SIRPG	76	STG	STG(1),IND(1),MIS(3),INT(55),UT5(1),UT3(5),2KU(4),2KD(6)				Q9P1W8[WEB:]https://www.uniprot.org/uniprot/Q9P1W8
SLA2	21	INT	INT(16),UT5(1),UT3(1),2KD(3)				Q9H6Q3[WEB:]https://www.uniprot.org/uniprot/Q9H6Q3
SLC12A5	10	MIS	MIS(1),SYN(1),INT(7),UT3(1)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=SLC12A5[TIAB] AND cancer[MH]	Q9H2X9[WEB:]https://www.uniprot.org/uniprot/Q9H2X9
SLC13A3	235	MIS	MIS(1),SYN(2),INT(209),UT5(1),UT3(4),2KU(11),2KD(7)				Q8WWT9[WEB:]https://www.uniprot.org/uniprot/Q8WWT9
SLC17A9	2	INT	INT(1),2KU(1)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=SLC17A9[TIAB] AND cancer[MH]	Q9BYT1[WEB:]https://www.uniprot.org/uniprot/Q9BYT1
SLC23A2	293	FSI	FSI(1),MIS(5),INT(269),UT3(10),2KU(5),2KD(3)		4	http://www.ncbi.nlm.nih.gov/pubmed?term=SLC23A2[TIAB] AND cancer[MH]	Q9UGH3[WEB:]https://www.uniprot.org/uniprot/Q9UGH3
SLC24A3	940	MIS	MIS(2),SYN(1),INT(922),UT3(5),2KU(3),2KD(7)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=SLC24A3[TIAB] AND cancer[MH]	Q9HC58[WEB:]https://www.uniprot.org/uniprot/Q9HC58
SLC2A10	46	MIS	MIS(1),SYN(1),INT(32),UT3(7),2KD(5)				O95528[WEB:]https://www.uniprot.org/uniprot/O95528
SLC32A1	36	FSI	FSI(1),MIS(4),SYN(3),INT(17),2KU(9),2KD(2)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=SLC32A1[TIAB] AND cancer[MH]	Q9H598[WEB:]https://www.uniprot.org/uniprot/Q9H598
SLC35C2	35	MIS	MIS(1),INT(21),UT3(6),2KU(7)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=SLC35C2[TIAB] AND cancer[TIAB]	Q9NQQ7[WEB:]https://www.uniprot.org/uniprot/Q9NQQ7
SLC4A11	11	MIS	MIS(1),INT(6),2KU(1),2KD(3)				Q8NBS3[WEB:]https://www.uniprot.org/uniprot/Q8NBS3
SLC52A3	63	MIS	MIS(6),SYN(3),INT(44),UT5(1),UT3(1),2KU(4),2KD(4)				Q9NQ40[WEB:]https://www.uniprot.org/uniprot/Q9NQ40
SLC9A8	152	FSD	FSD(3),MIS(1),INT(137),UT3(5),2KU(4),2KD(2)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=SLC9A8[TIAB] AND cancer[MH]	Q9Y2E8[WEB:]https://www.uniprot.org/uniprot/Q9Y2E8
SLCO4A1	41	STG	STG(1),SYN(2),INT(33),2KU(4),2KD(1)		5	http://www.ncbi.nlm.nih.gov/pubmed?term=SLCO4A1[TIAB] AND cancer[MH]	Q96BD0[WEB:]https://www.uniprot.org/uniprot/Q96BD0
SLPI	10	INT	INT(3),2KU(6),2KD(1)		76	http://www.ncbi.nlm.nih.gov/pubmed?term=SLPI[TIAB] AND cancer[MH]	P03973[WEB:]https://www.uniprot.org/uniprot/P03973
SLX4IP	220	INT	INT(218),UT3(1),2KU(1)				Q5VYV7[WEB:]https://www.uniprot.org/uniprot/Q5VYV7
SMOX	92	SYN	SYN(1),INT(83),UT3(2),2KU(1),2KD(5)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=SMOX[TIAB] AND cancer[MH]	Q9NWM0[WEB:]https://www.uniprot.org/uniprot/Q9NWM0
SNAI1	14	MIS	MIS(1),INT(10),2KU(3)		88	http://www.ncbi.nlm.nih.gov/pubmed?term=SNAI1[TIAB] AND cancer[MH]	O95863[WEB:]https://www.uniprot.org/uniprot/O95863
SNAP25	129	INT	INT(109),UT5(2),UT3(1),2KU(16),2KD(1)		10	http://www.ncbi.nlm.nih.gov/pubmed?term=SNAP25[TIAB] AND cancer[MH]	P60880[WEB:]https://www.uniprot.org/uniprot/P60880
SNPH	90	MIS	MIS(2),SYN(2),INT(70),UT3(6),2KU(5),2KD(5)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=SNPH[TIAB] AND cancer[MH]	O15079[WEB:]https://www.uniprot.org/uniprot/O15079
SNRPB	15	INT	INT(11),2KU(1),2KD(3)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=SNRPB[TIAB] AND cancer[MH]	P14678[WEB:]https://www.uniprot.org/uniprot/P14678
SNRPB2	36	FSI	FSI(1),MIS(1),SYN(1),INT(21),UT3(5),2KU(4),2KD(3)		1	http://www.ncbi.nlm.nih.gov/pubmed?term=SNRPB2[TIAB] AND cancer[MH]	P08579[WEB:]https://www.uniprot.org/uniprot/P08579
SNTA1	46	FSI	FSI(1),SYN(1),INT(39),UT3(1),2KU(1),2KD(3)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=SNTA1[TIAB] AND cancer[MH]	Q13424[WEB:]https://www.uniprot.org/uniprot/Q13424
SNX21	26	FSI	FSI(1),SYN(2),INT(18),UT3(1),2KU(1),2KD(3)				Q969T3[WEB:]https://www.uniprot.org/uniprot/Q969T3
SNX5	8	INT	INT(7),2KD(1)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=SNX5[TIAB] AND cancer[MH]	Q9Y5X3[WEB:]https://www.uniprot.org/uniprot/Q9Y5X3
SOGA1	120	FSD	FSD(1),MIS(1),SYN(5),INT(110),UT3(1),2KU(1),2KD(1)				O94964[WEB:]https://www.uniprot.org/uniprot/O94964
SOX12	13	MIS	MIS(1),UT5(1),UT3(4),2KU(2),2KD(5)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=SOX12[TIAB] AND cancer[MH]	O15370[WEB:]https://www.uniprot.org/uniprot/O15370
SPAG4	4	INT	INT(3),2KD(1)		2	http://www.ncbi.nlm.nih.gov/pubmed?term=SPAG4[TIAB] AND cancer[MH]	Q9NPE6[WEB:]https://www.uniprot.org/uniprot/Q9NPE6
SPATA2	26	SYN	SYN(1),INT(12),UT3(3),2KU(9),2KD(1)				Q9UM82[WEB:]https://www.uniprot.org/uniprot/Q9UM82
SPATA25	13	SYN	SYN(1),2KU(7),2KD(5)				Q9BR10[WEB:]https://www.uniprot.org/uniprot/Q9BR10
SPEF1	15	FSD	FSD(1),SYN(1),INT(4),UT5(1),UT3(2),2KU(1),2KD(5)				Q9Y4P9[WEB:]https://www.uniprot.org/uniprot/Q9Y4P9
SPINT3	11	INT	INT(10),2KD(1)				P49223[WEB:]https://www.uniprot.org/uniprot/P49223
SPINT4	3	2KD	2KD(3)				Q6UDR6[WEB:]https://www.uniprot.org/uniprot/Q6UDR6
SPO11	25	SYN	SYN(2),INT(18),2KD(5)		3	http://www.ncbi.nlm.nih.gov/pubmed?term=SPO11[TIAB] AND cancer[MH]	Q9Y5K1[WEB:]https://www.uniprot.org/uniprot/Q9Y5K1
SPTLC3	260	INT	INT(257),UT3(2),2KU(1)				Q9NUV7[WEB:]https://www.uniprot.org/uniprot/Q9NUV7
SRC	13	SYN	SYN(1),INT(10),UT3(1),2KD(1)		5603	http://www.ncbi.nlm.nih.gov/pubmed?term=SRC[TIAB] AND cancer[MH]	P12931[WEB:]https://www.uniprot.org/uniprot/P12931
